case	negative	positive
0219_2005-04-01 00:00:00_Hungary.txt	19	28
0053_2001-04-01 00:00:00_Belgium.txt	8	55
0151_2004-04-01 00:00:00_Netherlands.txt	45	34
0077_2001-11-01 00:00:00_Austria.txt	18	37
0253_2005-11-01 00:00:00_United Kingdom.txt	19	36
0250_2005-11-01 00:00:00_Slovakia.txt	20	31
0189_2004-11-01 00:00:00_Latvia.txt	17	41
0063_2001-04-01 00:00:00_Portugal.txt	23	45
0277_2006-04-01 00:00:00_United Kingdom.txt	27	59
0099_2002-11-01 00:00:00_Germany.txt	33	33
0240_2005-11-01 00:00:00_Latvia.txt	12	38
0260_2006-04-01 00:00:00_France.txt	28	75
0185_2004-11-01 00:00:00_France.txt	39	61
0157_2003-11-01 00:00:00_Cyprus.txt	23	30
0007_1998-10-01 00:00:00_Ireland.txt	1	2
0127_2003-11-01 00:00:00_Belgium.txt	19	37
0161_2003-11-01 00:00:00_Lithuania.txt	18	36
0229_2005-04-01 00:00:00_United Kingdom.txt	6	20
0130_2003-11-01 00:00:00_Greece.txt	30	38
0165_2003-11-01 00:00:00_Slovenia.txt	21	36
0137_2003-11-01 00:00:00_Austria.txt	20	38
0015_1999-04-01 00:00:00_Ireland.txt	5	16
0083_2002-05-01 00:00:00_Belgium.txt	17	48
0160_2003-11-01 00:00:00_Latvia.txt	15	30
0024_2000-04-01 00:00:00_Germany.txt	15	29
0100_2002-11-01 00:00:00_Greece.txt	22	37
0135_2003-11-01 00:00:00_Luxembourg.txt	26	23
0181_2004-11-01 00:00:00_Germany.txt	37	50
0190_2004-11-01 00:00:00_Lithuania.txt	19	36
0080_2001-11-01 00:00:00_Denmark.txt	15	25
0131_2003-11-01 00:00:00_Spain.txt	9	34
0021_1999-04-01 00:00:00_Finland.txt	3	10
0256_2006-04-01 00:00:00_Germany.txt	26	65
0071_2001-11-01 00:00:00_Spain.txt	20	48
0184_2004-11-01 00:00:00_Spain.txt	51	74
0156_2004-04-01 00:00:00_United Kingdom.txt	14	38
